subject,condition,trial,targetx,targety,targetang,rotationval,cursorendpointy,cursorendpointx,conditionnumber,pathlength,movementduration,cursorobstaclexy,maxdev_cm,maxdev_angle,maxdev_x,max_y_peakvel,AUC,RMSExy,angmaxvel,block3,block5,block10,rotgroup
ab0529,control,19,0,12,90,1,11.98521992,0.038159438,1,12.11619221,1032.730131,-1.270200115,-1.292691288,75.08677164,4.85378091,-1.270200115,8.998067158,0.752354945,-17.52956148,6,3,1,2
ab0529,control,20,0,12,90,1,11.91113937,-0.208519194,1,12.3835072,1198.843279,-1.590873313,-1.735387527,74.58116936,6.292206595,-1.733647878,14.56527093,1.137760933,-14.91075884,6,4,2,2
ab0529,control,21,-6,10.41818182,120,1,11.60701271,-0.12204957,1,14.24006405,1104,-3.081264749,-3.107005547,78.85837321,3.556408125,-2.822048275,25.09319629,1.866190067,-26.48285714,7,4,2,2
ab0529,control,22,3.109090909,11.61818182,75,1,11.75188571,0.060920677,1,11.75904212,964,-0.366773534,0.399210115,-36.92268506,0.160665068,-0.193027079,2.159156456,0.201000149,-1.666103346,7,4,2,2
ab0529,control,23,-3.109090909,11.61818182,105,1,11.716882,-0.148663994,1,14.03302967,1060,-3.357443996,-3.556861996,73.41876794,5.785842396,-3.556333792,28.28760199,2.096169372,-32.60623146,7,4,2,2
ab0529,control,24,6,10.41818182,60,1,11.6912658,-0.355423464,1,11.64419057,999.6025768,-0.362500677,-0.442962538,57.56281995,10.4073455,-0.370685912,3.980596723,0.345834855,-3.435680105,8,4,2,2
ab0529,control,25,-6,10.41818182,120,-1,11.63143323,-0.000152127,1,11.88740837,1444.42158,0.903161234,0.911037255,-43.23920569,3.024980197,0.904874791,6.871086033,0.593621176,14.33019432,8,5,2,2
ab0529,control,26,3.109090909,11.61818182,75,-1,11.79231168,0.076539715,1,13.33214559,1469.631557,2.825751725,2.849138231,-67.43498396,3.704358082,2.761593794,20.61466035,1.592216482,30.27748969,8,5,2,2
ab0529,control,27,-3.109090909,11.61818182,105,-1,11.61919861,-0.366796789,1,12.75978213,872.6590262,1.932939254,1.945752474,-46.72205284,3.616988929,1.405967457,14.85201182,1.221896745,10.81559649,9,5,2,2
ab0529,control,28,6,10.41818182,60,-1,11.7955043,0.532128282,1,15.22760068,1040,4.218657173,4.248281264,-77.99880013,4.717995641,4.218657173,37.32998317,2.562280376,45.13707509,9,5,2,2
ab0529,control,29,0,12,90,-1,11.96379388,-0.096569968,1,13.01622122,900,2.034778001,2.041988405,-61.66528431,3.786885447,1.670714353,16.03900375,1.25449497,13.42718753,9,5,2,2
